"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"62","7.52686763","0.0","0.13285739","0.0","1","11","false","ERV3-1","3.0","1","0","0","0.45609436","false","0","ERV3-1","0","0.0"
"63","6.52817824","0.00523902","0.15318209","0.0","3","10","false","ZNF138","1.33333333","3","0","0","0.53931848","false","0","ZNF138","27862","0.33333333"
"65","7.52686763","0.0","0.13285739","0.0","1","11","false","TRIM28","3.0","1","0","0","0.45609436","false","0","TRIM28","0","0.0"
"67","1.4","0.0","0.71428571","1.0","6","2","false","UBXN7","9.33333333","6","0","0","0.8","false","0","UBXN7","0","0.93333333"
"68","1.0","0.03333333","1.0","0.82222222","10","1","false","FAF2","8.4","10","0","0","1.0","false","0","FAF2","16","0.84"
"70","1.0","0.03333333","1.0","0.82222222","10","1","false","UFD1L","8.4","10","0","0","1.0","false","0","UFD1L","16","0.84"
"72","1.2","0.00740741","0.83333333","0.92857143","8","2","false","FAF1","9.0","8","0","0","0.9","false","0","FAF1","4","0.9"
"73","1.1","0.01481481","0.90909091","0.88888889","9","2","false","DERL2","8.77777778","9","0","0","0.95","false","0","DERL2","8","0.87777778"
"75","1.1","0.01481481","0.90909091","0.88888889","9","2","false","DERL1","8.77777778","9","0","0","0.95","false","0","DERL1","8","0.87777778"
"79","1.0","0.03333333","1.0","0.82222222","10","1","false","NPLOC4","8.4","10","0","0","1.0","false","0","NPLOC4","16","0.84"
"82","1.0","0.03333333","1.0","0.82222222","10","1","false","VCP","8.4","10","0","0","1.0","false","0","VCP","16","0.84"
"84","1.3","0.0","0.76923077","1.0","7","2","false","VIMP","9.28571429","7","0","0","0.85","false","0","VIMP","0","0.92857143"
"88","1.3","0.0","0.76923077","1.0","7","2","false","SYVN1","9.28571429","7","0","0","0.85","false","0","SYVN1","0","0.92857143"
"95","1.2","0.00740741","0.83333333","0.92857143","8","2","false","NSFL1C","9.0","8","0","0","0.9","false","0","NSFL1C","4","0.9"
"125","4.53211009","0.0","0.22064777","1.0","3","8","false","CYBB","26.33333333","3","0","0","0.70565749","false","0","CYBB","0","0.52666667"
"126","3.97378768","0.00284399","0.25164908","0.39166667","16","8","false","VCAM1","12.75","16","0","0","0.75218436","false","0","VCAM1","24996","0.16558442"
"128","4.59370904","0.0","0.21768902","1.0","5","8","false","ITGAD","11.0","5","0","0","0.70052425","false","0","ITGAD","0","0.45833333"
"130","4.59239843","5.68E-6","0.21775114","0.86666667","6","8","false","ITGB7","10.0","6","0","0","0.70063346","false","0","ITGB7","34","0.41666667"
"132","4.33027523","2.2575E-4","0.2309322","0.75","8","8","false","ITGB1","14.875","8","0","0","0.72247706","false","0","ITGB1","1932","0.27546296"
"134","3.63433814","0.00567559","0.27515326","0.5","16","8","false","IL13","23.6875","16","0","0","0.78047182","false","0","IL13","44032","0.17290146"
"136","4.34862385","1.1711E-4","0.22995781","0.8","6","8","false","THBS1","16.33333333","6","0","0","0.72094801","false","0","THBS1","1216","0.32026144"
"141","4.52686763","5.944E-5","0.2209033","0.80952381","7","8","false","ITGA4","14.85714286","7","0","0","0.70609436","false","0","ITGA4","290","0.29714286"
"147","3.71035387","0.0","0.26951607","1.0","8","8","false","CHEK2","26.75","8","0","0","0.77413718","false","0","CHEK2","0","0.25235849"
"148","3.47313237","0.01835365","0.28792453","0.35402299","30","8","false","BCL2L1","18.03333333","30","0","0","0.79390564","false","0","BCL2L1","139588","0.13765903"
"150","3.34076016","0.02343392","0.29933307","0.26719577","28","8","false","EP300","16.71428571","28","0","0","0.80493665","false","0","EP300","191974","0.09183673"
"152","3.69462647","6.4659E-4","0.27066336","0.8","10","8","false","MDM2","22.5","10","0","0","0.77544779","false","0","MDM2","5976","0.20642202"
"154","3.71035387","0.0","0.26951607","1.0","8","8","false","MDM4","26.75","8","0","0","0.77413718","false","0","MDM4","0","0.25235849"
"156","2.9750983","0.19070062","0.33612335","0.11369622","68","7","false","TP53","15.60294118","68","0","0","0.83540848","false","0","TP53","1560562","0.05307123"
"158","3.65530799","0.02372908","0.27357476","0.45614035","19","8","false","ATM","18.57894737","19","0","0","0.77872433","false","0","ATM","179920","0.14983022"
"160","3.74967235","0.0","0.26668997","1.0","6","8","false","CREBBP","29.33333333","6","0","0","0.77086064","false","0","CREBBP","0","0.29931973"
"167","4.46002621","0.0","0.22421393","1.0","8","8","false","MAP3K7","17.0","8","0","0","0.71166448","false","0","MAP3K7","0","0.26153846"
"168","4.4587156","3.159E-5","0.22427984","0.88888889","9","8","false","TRADD","15.66666667","9","0","0","0.7117737","false","0","TRADD","516","0.24102564"
"170","4.4587156","3.159E-5","0.22427984","0.88888889","9","8","false","RIPK1","15.66666667","9","0","0","0.7117737","false","0","RIPK1","516","0.24102564"
"172","4.4587156","3.159E-5","0.22427984","0.88888889","9","8","false","TRAF2","15.66666667","9","0","0","0.7117737","false","0","TRAF2","516","0.24102564"
"174","4.04587156","5.1888E-4","0.24716553","0.8","10","7","false","TNFRSF1A","17.7","10","0","0","0.74617737","false","0","TNFRSF1A","7712","0.236"
"176","4.31192661","0.00312926","0.23191489","0.56363636","11","8","false","TAB2","15.45454545","11","0","0","0.72400612","false","0","TAB2","43616","0.18398268"
"182","4.13499345","2.8598E-4","0.24183835","0.8","6","8","false","TNFRSF1B","19.83333333","6","0","0","0.73875055","false","0","TNFRSF1B","4254","0.36060606"
"189","4.44429882","0.0","0.22500737","1.0","9","8","false","TBK1","16.44444444","9","0","0","0.7129751","false","0","TBK1","0","0.45679012"
"190","4.31716907","3.4432E-4","0.23163327","0.68333333","16","7","false","LY96","14.5625","16","0","0","0.72356924","false","0","LY96","3458","0.32361111"
"192","4.44429882","0.0","0.22500737","1.0","9","8","false","TICAM1","16.44444444","9","0","0","0.7129751","false","0","TICAM1","0","0.45679012"
"194","4.44429882","0.0","0.22500737","1.0","9","8","false","TRAF3","16.44444444","9","0","0","0.7129751","false","0","TRAF3","0","0.45679012"
"195","4.31716907","3.4432E-4","0.23163327","0.68333333","16","7","false","TIRAP","14.5625","16","0","0","0.72356924","false","0","TIRAP","3458","0.32361111"
"197","4.31716907","3.4432E-4","0.23163327","0.68333333","16","7","false","IRAK1","14.5625","16","0","0","0.72356924","false","0","IRAK1","3458","0.32361111"
"200","4.31716907","3.4432E-4","0.23163327","0.68333333","16","7","false","TRAF6","14.5625","16","0","0","0.72356924","false","0","TRAF6","3458","0.32361111"
"202","3.60943644","0.01869392","0.27705156","0.40217391","24","7","false","MYD88","17.20833333","24","0","0","0.78254696","false","0","MYD88","106264","0.12653186"
"204","3.62123198","0.00489997","0.27614911","0.625","16","7","false","TLR4","21.125","16","0","0","0.781564","false","0","TLR4","44532","0.15648148"
"208","4.44036697","6.937E-5","0.22520661","0.93333333","10","7","false","TLR6","14.6","10","0","0","0.71330275","false","0","TLR6","898","0.50344828"
"209","4.60419397","4.3E-7","0.21719328","0.97222222","9","8","false","TOLLIP","13.66666667","9","0","0","0.6996505","false","0","TOLLIP","2","0.68333333"
"211","3.46002621","0.02908976","0.28901515","0.34057971","24","6","false","HMGB1","18.70833333","24","0","0","0.79499782","false","0","HMGB1","311912","0.1127008"
"215","4.60550459","0.0","0.21713147","1.0","8","8","false","CD14","14.375","8","0","0","0.69954128","false","0","CD14","0","0.71875"
"217","3.65006553","0.00489172","0.27396768","0.625","16","7","false","TLR1","20.0625","16","0","0","0.77916121","false","0","TLR1","45494","0.15797244"
"220","3.65006553","0.00489172","0.27396768","0.625","16","7","false","TLR2","20.0625","16","0","0","0.77916121","false","0","TLR2","45494","0.15797244"
"239","4.44167759","3.303E-5","0.22514016","0.97222222","9","7","false","IRAK4","15.44444444","9","0","0","0.71319353","false","0","IRAK4","448","0.53256705"
"270","4.62647444","3.7431E-4","0.21614731","0.73333333","6","10","false","SERPINA1","12.0","6","0","0","0.6977938","false","0","SERPINA1","2388","0.29268293"
"271","4.96068152","0.0","0.2015852","1.0","4","10","false","GORASP1","7.75","4","0","0","0.66994321","false","0","GORASP1","0","0.775"
"273","4.21625164","5.7609E-4","0.23717749","0.8","5","9","false","TFG","11.0","5","0","0","0.73197903","false","0","TFG","13348","0.40740741"
"275","4.9593709","8.6E-7","0.20163848","0.9","5","10","false","CNIH1","7.0","5","0","0","0.67005242","false","0","CNIH1","2","0.7"
"277","3.96592398","0.00275778","0.25214805","0.57777778","10","9","false","AREG","14.6","10","0","0","0.75283967","false","0","AREG","36782","0.2115942"
"279","3.96592398","0.00275778","0.25214805","0.57777778","10","9","false","TGFA","14.6","10","0","0","0.75283967","false","0","TGFA","36782","0.2115942"
"281","3.63826999","0.04079189","0.27485591","0.20910384","38","9","false","IGF1","13.10526316","38","0","0","0.78014417","false","0","IGF1","826506","0.10080972"
"290","3.54521625","0.00304102","0.28207024","0.58241758","14","8","false","ERBB2","17.5","14","0","0","0.78789865","false","0","ERBB2","71290","0.16826923"
"293","3.97116645","0.0","0.25181518","1.0","6","9","false","ERBB3","21.66666667","6","0","0","0.7524028","false","0","ERBB3","0","0.31400966"
"295","3.22673657","0.02215818","0.30991064","0.35144928","24","8","false","EGFR","21.125","24","0","0","0.81443862","false","0","EGFR","392328","0.10945596"
"302","5.28571429","0.0","0.18918919","1.0","4","10","false","CD59","7.25","4","0","0","0.64285714","false","0","CD59","0","0.725"
"303","5.28047182","1.376E-5","0.18937702","0.60714286","8","10","false","F3","5.625","8","0","0","0.64329401","false","0","F3","22","0.5625"
"305","5.28571429","0.0","0.18918919","1.0","4","10","false","ENTPD1","7.25","4","0","0","0.64285714","false","0","ENTPD1","0","0.725"
"307","5.28178244","6.88E-6","0.18933002","0.71428571","7","10","false","THBD","6.14285714","7","0","0","0.6431848","false","0","THBD","12","0.61428571"
"309","4.29095675","0.01560355","0.23304826","0.4","10","9","false","TFPI2","6.8","10","0","0","0.7257536","false","0","TFPI2","92902","0.21612903"
"311","5.28964613","0.0","0.18904856","0.0","1","10","false","NDRG4","10.0","1","0","0","0.64252949","false","0","NDRG4","0","0.0"
"315","5.2870249","0.0","0.18914229","1.0","3","10","false","KLKB1","8.0","3","0","0","0.64274792","false","0","KLKB1","0","0.8"
"319","4.29619921","0.00518742","0.23276388","0.73333333","6","9","false","SERPINE1","10.0","6","0","0","0.72531673","false","0","SERPINE1","46432","0.3125"
"321","5.28309305","3.44E-6","0.18928306","0.8","6","10","false","PLG","6.5","6","0","0","0.64307558","false","0","PLG","6","0.65"
"323","5.28440367","0.0","0.18923611","1.0","5","10","false","F2","7.4","5","0","0","0.64296636","false","0","F2","0","0.74"
"338","3.72739187","1.19E-5","0.26828411","0.96428571","8","8","false","TFF3","20.375","8","0","0","0.77271734","false","0","TFF3","504","0.26461039"
"340","3.23066841","0.02788306","0.30953347","0.3","25","7","false","CTNNB1","21.52","25","0","0","0.81411097","false","0","CTNNB1","389308","0.12584795"
"342","3.55832241","6.4478E-4","0.28103131","0.74545455","11","9","false","GATA3","21.54545455","11","0","0","0.78680647","false","0","GATA3","12686","0.19766472"
"344","3.25688073","0.05681193","0.30704225","0.23885918","34","8","false","ESR1","16.70588235","34","0","0","0.81192661","false","0","ESR1","702828","0.09229769"
"346","3.43250328","0.00262179","0.29133257","0.49166667","16","8","false","FOXA1","21.0625","16","0","0","0.79729139","false","0","FOXA1","43106","0.14729021"
"348","3.58846658","9.283E-5","0.27867056","0.8","11","8","false","TFF1","20.09090909","11","0","0","0.78429445","false","0","TFF1","2098","0.2092803"
"355","3.59370904","3.715E-5","0.27826404","0.96428571","8","8","false","JAK3","29.875","8","0","0","0.78385758","false","0","JAK3","348","0.25978261"
"357","3.69855832","1.087E-5","0.27037562","0.94444444","9","8","false","JAK2","28.22222222","9","0","0","0.77512014","false","0","JAK2","64","0.24329502"
"359","3.52948886","0.00527734","0.28332714","0.48538012","19","8","false","JAK1","20.47368421","19","0","0","0.78920926","false","0","JAK1","73560","0.1383357"
"361","3.20314548","0.02244102","0.31219313","0.38423645","29","7","false","IL6","21.79310345","29","0","0","0.81640454","false","0","IL6","402062","0.09905956"
"363","3.327654","0.00648036","0.30051201","0.58823529","17","8","false","SOCS3","25.88235294","17","0","0","0.80602883","false","0","SOCS3","113860","0.14066496"
"365","2.9921363","0.15033038","0.33420937","0.15104967","63","7","false","STAT3","18.63492063","63","0","0","0.83398864","false","0","STAT3","1684178","0.06448069"
"369","3.30799476","0.0378976","0.30229794","0.25230769","26","8","false","SRC","19.19230769","26","0","0","0.8076671","false","0","SRC","382436","0.10101215"
"379","6.37090433","0.0","0.15696359","1.0","4","12","false","STARD6","7.0","4","0","0","0.55242464","false","0","STARD6","0","0.5"
"380","6.37090433","0.0","0.15696359","1.0","4","12","false","STARD3NL","7.0","4","0","0","0.55242464","false","0","STARD3NL","0","0.5"
"382","6.37090433","0.0","0.15696359","1.0","4","12","false","STARD4","7.0","4","0","0","0.55242464","false","0","STARD4","0","0.5"
"384","5.37614679","0.01295737","0.18600683","0.35164835","14","11","false","STAR","9.21428571","14","0","0","0.6353211","false","0","STAR","177104","0.25595238"
"386","6.2870249","2.7424E-4","0.15905774","0.6","6","12","false","STARD3","8.16666667","6","0","0","0.55941459","false","0","STARD3","1182","0.38888889"
"388","5.30144168","0.00483558","0.18862794","0.375","16","11","false","CYP11A1","10.5625","16","0","0","0.64154653","false","0","CYP11A1","67710","0.25762195"
"395","6.37221494","1.72E-6","0.1569313","0.66666667","3","12","false","VDAC1","8.33333333","3","0","0","0.55231542","false","0","VDAC1","2","0.5952381"
"396","5.38269987","0.00193001","0.18578037","0.63888889","9","11","false","FDX1","12.66666667","9","0","0","0.63477501","false","0","FDX1","50298","0.35185185"
"398","6.37352556","0.0","0.15689903","1.0","2","12","false","VDAC2","8.5","2","0","0","0.5522062","false","0","VDAC2","0","0.60714286"
"401","6.28964613","0.0","0.15899146","1.0","4","12","false","FDX1L","11.5","4","0","0","0.55919616","false","0","FDX1L","0","0.54761905"
"405","4.93971166","1.5035E-4","0.20244097","0.95555556","10","10","false","SRD5A1","14.6","10","0","0","0.67169069","false","0","SRD5A1","5992","0.39459459"
"406","4.93971166","1.5035E-4","0.20244097","0.95555556","10","10","false","SRD5A3","14.6","10","0","0","0.67169069","false","0","SRD5A3","5992","0.39459459"
"408","4.93971166","1.5035E-4","0.20244097","0.95555556","10","10","false","HSD17B3","14.6","10","0","0","0.67169069","false","0","HSD17B3","5992","0.39459459"
"411","4.88204456","0.00538143","0.20483221","0.48366013","18","10","false","HSD3B1","12.38888889","18","0","0","0.67649629","false","0","HSD3B1","93562","0.23824786"
"413","4.46395806","0.03389125","0.22401644","0.34782609","23","10","false","CYP17A1","12.82608696","23","0","0","0.71133683","false","0","CYP17A1","476286","0.15641569"
"415","5.41677588","0.0","0.18461166","1.0","9","11","false","AKR1C2","14.55555556","9","0","0","0.63193534","false","0","AKR1C2","0","0.48518519"
"421","4.491481","0.0024424","0.22264371","0.54166667","16","10","false","AKR1C3","13.6875","16","0","0","0.70904325","false","0","AKR1C3","56410","0.26322115"
"423","5.41677588","0.0","0.18461166","1.0","9","11","false","AKR1C1","14.55555556","9","0","0","0.63193534","false","0","AKR1C1","0","0.48518519"
"431","1.1","0.0","0.90909091","1.0","9","2","false","PLK1","10.0","9","0","0","0.95","false","0","PLK1","0","1.0"
"432","1.0","0.00246914","1.0","0.97777778","10","1","false","WAPAL","9.8","10","0","0","1.0","false","0","WAPAL","2","0.98"
"434","1.0","0.00246914","1.0","0.97777778","10","1","false","STAG2","9.8","10","0","0","1.0","false","0","STAG2","2","0.98"
"436","1.0","0.00246914","1.0","0.97777778","10","1","false","RAD21","9.8","10","0","0","1.0","false","0","RAD21","2","0.98"
"438","1.0","0.00246914","1.0","0.97777778","10","1","false","ESPL1","9.8","10","0","0","1.0","false","0","ESPL1","2","0.98"
"441","1.1","0.0","0.90909091","1.0","9","2","false","NIPBL","10.0","9","0","0","0.95","false","0","NIPBL","0","1.0"
"444","1.0","0.00246914","1.0","0.97777778","10","1","false","PDS5B","9.8","10","0","0","1.0","false","0","PDS5B","2","0.98"
"449","1.0","0.00246914","1.0","0.97777778","10","1","false","PDS5A","9.8","10","0","0","1.0","false","0","PDS5A","2","0.98"
"453","1.0","0.00246914","1.0","0.97777778","10","1","false","STAG1","9.8","10","0","0","1.0","false","0","STAG1","2","0.98"
"460","1.0","0.00246914","1.0","0.97777778","10","1","false","SMC1A","9.8","10","0","0","1.0","false","0","SMC1A","2","0.98"
"462","1.0","0.00246914","1.0","0.97777778","10","1","false","SMC3","9.8","10","0","0","1.0","false","0","SMC3","2","0.98"
"496","4.82961992","2.64E-6","0.20705563","0.85714286","8","9","false","SMURF2","8.625","8","0","0","0.68086501","false","0","SMURF2","8","0.575"
"497","3.89777195","0.0026192","0.25655683","0.68888889","10","8","false","SMAD2","15.3","10","0","0","0.758519","false","0","SMAD2","52968","0.17386364"
"499","4.01572739","0.001486","0.24902089","0.77777778","9","8","false","TGFBR1","13.66666667","9","0","0","0.74868938","false","0","TGFBR1","31760","0.21354167"
"500","3.07601573","0.17033092","0.32509587","0.11851852","55","7","false","JUN","15.27272727","55","0","0","0.82699869","false","0","JUN","1447946","0.0551362"
"502","4.83224115","0.0","0.20694331","1.0","6","9","false","ZFYVE9","9.83333333","6","0","0","0.68064657","false","0","ZFYVE9","0","0.65555556"
"505","3.84010485","0.06905899","0.26040956","0.39047619","15","8","false","SMAD4","12.26666667","15","0","0","0.7633246","false","0","SMAD4","706020","0.12390572"
"507","3.89777195","0.0026192","0.25655683","0.68888889","10","8","false","SMAD3","15.3","10","0","0","0.758519","false","0","SMAD3","52968","0.17386364"
"510","4.83093054","5.7E-7","0.20699946","0.95238095","7","9","false","SKIL","9.28571429","7","0","0","0.68075579","false","0","SKIL","2","0.61904762"
"513","4.01834862","6.7389E-4","0.24885845","0.9047619","7","8","false","SKI","16.28571429","7","0","0","0.74847095","false","0","SKI","15876","0.25446429"
"519","4.83355177","0.0","0.2068872","1.0","5","9","false","NEDD4L","10.4","5","0","0","0.68053735","false","0","NEDD4L","0","0.69333333"
"531","3.19921363","0.04213868","0.31257681","0.38494624","31","8","false","CDK4","22.09677419","31","0","0","0.8167322","false","0","CDK4","481420","0.09245512"
"539","5.28964613","0.0","0.18904856","0.0","1","10","false","PPP6R1","10.0","1","0","0","0.64252949","false","0","PPP6R1","0","0.0"
"540","4.29095675","0.00785682","0.23304826","0.35555556","10","9","false","SKAP2","6.1","10","0","0","0.7257536","false","0","SKAP2","35908","0.21428571"
"542","5.28833552","0.0","0.18909542","1.0","2","10","false","ASAH1","6.0","2","0","0","0.64263871","false","0","ASAH1","0","0.6"
"543","5.28833552","0.0","0.18909542","1.0","2","10","false","GM2A","6.0","2","0","0","0.64263871","false","0","GM2A","0","0.6"
"547","4.29750983","0.0","0.23269289","1.0","5","9","false","LYN","10.6","5","0","0","0.72520751","false","0","LYN","0","0.36551724"
"548","4.2948886","6.88E-6","0.23283491","0.71428571","7","9","false","FYB","8.42857143","7","0","0","0.72542595","false","0","FYB","12","0.29064039"
"551","4.29750983","0.0","0.23269289","1.0","5","9","false","FYN","10.6","5","0","0","0.72520751","false","0","FYN","0","0.36551724"
"554","4.29750983","0.0","0.23269289","1.0","5","9","false","HCK","10.6","5","0","0","0.72520751","false","0","HCK","0","0.36551724"
"561","4.29882045","0.0","0.23262195","1.0","4","9","false","CD47","11.75","4","0","0","0.7250983","false","0","CD47","0","0.40517241"
"563","4.29882045","0.0","0.23262195","1.0","4","9","false","SIRPA","11.75","4","0","0","0.7250983","false","0","SIRPA","0","0.40517241"
"572","3.73001311","4.513E-5","0.26809557","0.80952381","7","8","false","HDAC1","23.57142857","7","0","0","0.77249891","false","0","HDAC1","282","0.22237197"
"573","3.55832241","0.01310419","0.28103131","0.33333333","16","8","false","XRCC6","17.8125","16","0","0","0.78680647","false","0","XRCC6","89790","0.13001825"
"575","3.83879423","0.0","0.26049846","1.0","4","8","false","SUV39H1","29.75","4","0","0","0.76343381","false","0","SUV39H1","0","0.35416667"
"579","3.55176933","0.0138555","0.28154982","0.375","16","8","false","SIRT1","17.75","16","0","0","0.78735256","false","0","SIRT1","179984","0.125"
"584","3.75622543","2.3773E-4","0.2662247","0.86666667","6","8","false","PPARGC1A","26.16666667","6","0","0","0.77031455","false","0","PPARGC1A","1704","0.24920635"
"587","3.87418087","0.0","0.25811908","1.0","2","8","false","RPS19BP1","42.0","2","0","0","0.76048493","false","0","RPS19BP1","0","0.56756757"
"590","3.76933159","6.9E-7","0.26529903","0.93333333","6","8","false","FOXO1","25.33333333","6","0","0","0.76922237","false","0","FOXO1","2","0.26116838"
"600","1.5","0.0","0.66666667","0.0","1","2","false","a#node1","2.0","1","0","0","0.75","false","0","a#node1","0","0.0"
"601","1.0","1.0","1.0","0.0","2","1","false","node2","1.0","2","0","0","1.0","false","0","node2","2","0.0"
"603","4.61730013","0.0","0.21657678","1.0","2","8","false","TNFRSF25","30.5","2","0","0","0.69855832","false","0","TNFRSF25","0","0.66304348"
"604","3.87155963","0.00438225","0.25829384","0.46666667","16","7","false","SELE","16.8125","16","0","0","0.76070336","false","0","SELE","78986","0.18274457"
"606","4.59895151","0.0","0.21744087","1.0","5","8","false","SPN","18.8","5","0","0","0.70008737","false","0","SPN","0","0.4"
"607","4.59239843","1.2936E-4","0.21775114","0.75","8","8","false","SELPLG","14.625","8","0","0","0.70063346","false","0","SELPLG","2058","0.29846939"
"609","3.68676278","0.03154582","0.27124067","0.5","16","7","false","ICAM1","21.125","16","0","0","0.7761031","false","0","ICAM1","237794","0.15836466"
"612","4.20576671","9.936E-5","0.23776878","0.95238095","7","8","false","VWF","20.14285714","7","0","0","0.73285277","false","0","VWF","2580","0.28370221"
"614","4.20314548","7.3911E-4","0.23791706","0.72222222","9","8","false","CD44","16.33333333","9","0","0","0.73307121","false","0","CD44","12028","0.23004695"
"615","4.86762779","0.0","0.20543888","1.0","3","8","false","GLG1","11.0","3","0","0","0.67769768","false","0","GLG1","0","0.6875"
"626","4.3525557","0.0","0.22975008","1.0","3","8","false","IRF1","25.66666667","3","0","0","0.72062036","false","0","IRF1","0","0.50326797"
"631","4.64482307","0.0","0.21529345","1.0","2","10","false","NKRF","22.5","2","0","0","0.69626474","false","0","NKRF","0","0.64285714"
"632","3.6474443","0.03256641","0.27416457","0.23529412","35","9","false","INS","12.71428571","35","0","0","0.77937964","false","0","INS","567972","0.10090703"
"634","4.11533421","4.6096E-4","0.24299363","0.73333333","10","9","false","SCGB1D4","15.7","10","0","0","0.74038882","false","0","SCGB1D4","4458","0.25737705"
"636","4.11795544","1.059E-5","0.24283896","0.89285714","8","9","false","SIRT6","18.625","8","0","0","0.74017038","false","0","SIRT6","62","0.30532787"
"639","4.13630406","4.3E-7","0.24176172","0.95238095","7","9","false","SIRT4","19.28571429","7","0","0","0.73864133","false","0","SIRT4","2","0.33251232"
"641","4.11795544","1.059E-5","0.24283896","0.89285714","8","9","false","SIRT7","18.625","8","0","0","0.74017038","false","0","SIRT7","62","0.30532787"
"643","4.11664482","1.102E-5","0.24291627","0.88888889","9","9","false","SIRT2","17.33333333","9","0","0","0.7402796","false","0","SIRT2","64","0.28415301"
"650","4.13630406","4.3E-7","0.24176172","0.95238095","7","9","false","SIRT5","19.28571429","7","0","0","0.73864133","false","0","SIRT5","2","0.33251232"
"657","3.32503277","0.02805346","0.30074892","0.25925926","27","8","false","FOXO3","17.33333333","27","0","0","0.80624727","false","0","FOXO3","301454","0.09219858"
"665","4.43512451","0.0","0.22547281","1.0","5","9","false","SERPINA6","17.4","5","0","0","0.71373962","false","0","SERPINA6","0","0.37021277"
"666","4.18348624","7.4869E-4","0.23903509","0.82222222","10","9","false","PRL","17.6","10","0","0","0.73470948","false","0","PRL","26404","0.22857143"
"668","4.02359109","0.01321137","0.2485342","0.42647059","17","9","false","SULT2A1","15.58823529","17","0","0","0.74803408","false","0","SULT2A1","127510","0.16408669"
"670","3.99475754","0.02502651","0.25032808","0.42857143","15","8","false","ALB","14.66666667","15","0","0","0.75043687","false","0","ALB","164760","0.14102564"
"672","4.13237221","0.02535999","0.24199175","0.48333333","16","9","false","CYP19A1","17.0625","16","0","0","0.73896898","false","0","CYP19A1","373522","0.20073529"
"683","4.18348624","7.4869E-4","0.23903509","0.82222222","10","9","false","SHBG","17.6","10","0","0","0.73470948","false","0","SHBG","26404","0.22857143"
"685","4.20838794","0.0","0.23762068","1.0","8","9","false","GNRH1","19.875","8","0","0","0.73263434","false","0","GNRH1","0","0.28804348"
"687","3.61992136","0.01863931","0.27624909","0.33333333","18","9","false","AR","16.77777778","18","0","0","0.78167322","false","0","AR","284626","0.12614871"
"692","4.37614679","0.04362528","0.22851153","0.47252747","14","9","false","CRP","16.0","14","0","0","0.71865443","false","0","CRP","1033634","0.22857143"
"703","4.61730013","0.0","0.21657678","1.0","7","9","false","DTYMK","16.0","7","0","0","0.69855832","false","0","DTYMK","0","0.35555556"
"704","4.48230668","4.47E-5","0.22309942","0.88888889","9","9","false","RRM2B","15.0","9","0","0","0.70980778","false","0","RRM2B","824","0.28846154"
"706","4.6146789","1.49E-6","0.2166998","0.91666667","9","9","false","RRM1","14.0","9","0","0","0.69877676","false","0","RRM1","6","0.31111111"
"708","4.48099607","4.571E-5","0.22316467","0.86666667","10","9","false","TYMS","14.2","10","0","0","0.70991699","false","0","TYMS","828","0.27307692"
"709","4.4836173","2.895E-5","0.2230342","0.92857143","8","9","false","BUB1B","16.0","8","0","0","0.70969856","false","0","BUB1B","548","0.30769231"
"712","4.61598952","4.3E-7","0.21663827","0.96428571","8","9","false","KIF11","15.0","8","0","0","0.69866754","false","0","KIF11","2","0.33333333"
"716","4.48099607","4.571E-5","0.22316467","0.86666667","10","9","false","TOP2A","14.2","10","0","0","0.70991699","false","0","TOP2A","828","0.27307692"
"717","3.82437746","0.0056834","0.26148047","0.47794118","17","9","false","E2F1","17.05882353","17","0","0","0.76463521","false","0","E2F1","46976","0.2244582"
"723","4.48099607","4.571E-5","0.22316467","0.86666667","10","9","false","RRM2","14.2","10","0","0","0.70991699","false","0","RRM2","828","0.27307692"
"727","4.30799476","4.9794E-4","0.23212656","0.49122807","19","9","false","CDC20","12.89473684","19","0","0","0.72433377","false","0","CDC20","4914","0.22232305"
"729","3.62647444","0.06737097","0.27574991","0.17373737","45","8","false","CDK1","13.26666667","45","0","0","0.78112713","false","0","CDK1","710368","0.08844444"
"743","4.12057667","0.0","0.24268448","1.0","5","7","false","MAPK7","24.0","5","0","0","0.73995194","false","0","MAPK7","0","0.5106383"
